A,B,C,D,E,F,G,H,I,J,K,L
1,1814,Ali Raza,AliRaza@gmail.com,,"Street#8, henry villa, Washington","18,HillSide Avenue, Barlin",10,Barlin,SnackBar making,1,Manufacturing
1,1813,Ahmed Raza,AhmedRaza@gmail.com,Ahmed123@gmail.com,"23 Rosemary Land, Tokyo",,20,Barlin,SnackBar making,2,HR
8,1815,Seniorita,sen_53@yahoo.com,pashaSen2@gmail.com,"21 Street Colly, Canada","2 Flower Street, Pakistan",10,Canada,RC Solar Lake Pool Cleaner Drone,1,Manufacturing
40,1432,Amina ,aminaRaf@gmail.com,,"76 Cherry Tree, Washington",,40,America,ProductZ,4,Accounting
40,1235,Talha,TalhaIman@gmail.com,Talha12@Yahoo.com,"31 Toho Street, iran","34 jahan Villa, NYC",10,America,ProductZ,1,Manufacturing
34,9864,Laila,laila3@gmail.com,lailaIkram@yahoo.com,"Street#11, Collkata colony, India",,40,Rome,ProductX,4,Accounting
2,2000,Saher,saherikram73@gmail.com,saher__@gmail.com,"Toho Street, DC Villa, Paris ","Phas18,DHA, Pakistan",30,Australia,ProductCX-2,3,Sales
6,1674,Areeb,ar4532@gmail.com,areeb@yahoo.com,"Rumio Street, Flower Corner, London",,30,London,Product45,3,Sales
34,1820,Saira,sayra@gmail.com,sairaaaa23@gmail.com,"Street 56, Circle town, Australia","People's Street, Gujranwala,Pakistan",20,Rome,ProductX,2,HR
8,1870,Waqas,waqas23@gmail.com,waqas34@yahoo.com,"21 MuradAbad, India",,60,Canada,RC Solar Lake Pool Cleaner Drone,6,Research
2,1835,Qari,Qaer@gmail.com,,"GhaziPur, Street32, bangladesh",,21,Australia,ProductCX-2,21,Purchasing
12,1890,Ali Amir,aliAmir@gmail.com,ali234@gmail.com,"23 Street named by Master Anwar, Pakistan","Street 11, F3 Markaz, Islamabad",70,Sri Lanka,ProductCT-3,7,IT
59,1250,Tamasha,tolia@gmail.com,,"US, NY, New York","GB, LND, London",80,Zumbabwe,ProductAB-3,8,Marketing
45,1260,Javeed,java@yahoo.com,uffJava@gmail.com,"NZ, , Auckland","US, CT, Stamford",90,Barcelona,ProductAL-4,9,Equipments
6,1270,Raza,Raza@gmal.com,raaz@yahoo.com,"US, IA, Wever","US, FL, Orlando",70,Keyseria,ProductQE-2,7,IT
34,1280,Ikram,ikram34@gmail.com,,"US, DC, Washington","AU, NSW, Sydney",80,Rome,ProductX,8,Marketing
59,1290,abdullah,abs@gmail.com,,"US, FL, Fort Worth","SG, 01, Singapore",21,Zumbabwe,ProductAB-3,21,Purchasing
12,1300,Sonia,sonakaka78@yahoo.com,prettyDoll@gmail.com,"US, MD, ","IL, , Tel Aviv, Israel",90,Sri Lanka,ProductCT-3,9,Equipments
6,1310,Zain,zain23@gmail.com,,"DE, BE, Berlin","GB, SOS, Southend-on-Sea",40,Keyseria,ProductQE-2,4,Accounting
32,1320,Zulekha,Zulekha@gmail.com,183432@gift.edu.pk,"US, CA, San Francisco","US, NY, New York",30,Oman,ProductOM,3,Sales
,,,,,,,,,,,
,,,,,,,,,,,
